"c_0","phi_0","a_0","a_py","a_pd","E_a","R_opt","gamma","h_0","h_py","h_pd","E_h"
2044.2847842944,416.40124871324,74874.167405179,3653137568.55416,438.549580193874,415.253254957369,315.152586225722,516.346341784766,420.350528749691,415.342653258772,220.399675354799,415.268351278094
2020.04631794547,416.761810911253,73619.3903605422,3535507553.05555,437.312356789943,415.25333182586,315.355444732477,515.729502382877,420.307393182728,415.342772290407,220.470212944743,415.268351234771
1996.32013756477,417.128093214787,72375.5354965505,3419472052.01024,436.102951503841,415.253408694411,315.644005883741,515.116483464816,420.26431038928,415.342889252316,220.543270610593,415.268351191447
1973.09160041978,417.500144100922,71142.5949029397,3305108531.2004,434.920847154004,415.253485563024,316.011235179367,514.507253962423,420.221280214151,415.343004158658,220.618934125296,415.268351148124
1950.34658871917,417.87801253451,69920.5606890618,3192491211.63535,433.765537908022,415.253562431698,316.450047088011,513.901783117228,420.178302502855,415.343117023479,220.697291708555,415.268351104801
1928.07148704987,418.261747972282,68709.424983786,3081690927.18918,432.636529016468,415.253639300433,316.953338440821,513.300040476829,420.135377101621,415.343227860713,220.77843406096,415.268351061477
1906.25316094213,418.651400366959,67509.1799354008,2972774983.36575,431.533336553376,415.253716169229,317.514021137501,512.701995891313,420.092503857383,415.343336684183,220.862454396197,415.268351018154
1884.87893649853,419.047020171396,66319.8177115155,2865807016.77619,430.455487163183,415.253793038086,318.125053967657,512.10761950973,420.049682617776,415.343443507603,220.949448471138,415.26835097483
1863.93658102665,419.448658342731,65141.3304989644,2760846855.34278,429.402517813976,415.253869907004,318.779473343594,511.516881776611,420.006913231132,415.343548344575,221.039514613674,415.268350931507
1843.41428461933,419.856366346553,63973.71050371,2657950379.70631,428.373975556866,415.253946775983,319.470422741818,510.929753428535,419.964195546479,415.343651208595,221.132753748086,415.268350888183
1823.30064262957,420.270196161086,62816.9499507475,2557169386.78862,427.369417291343,415.254023645023,320.191180658492,510.346205490737,419.92152941353,415.343752113052,221.229269417805,415.268350844859
1803.58463899061,420.690200281387,61671.0410840101,2458551456.92407,426.388409536449,415.254100514125,320.93518689785,509.766209273768,419.878914682685,415.343851071224,221.329167805378,415.268350801536
1784.25563033497,421.116431723558,60535.9761662753,2362139826.39955,425.43052820761,415.254177383287,321.69606703115,509.189736370191,419.836351205024,415.343948096289,221.43255774947,415.268350758212
1765.30333086869,421.548944028975,59411.7474790705,2267973267.61017,424.495358398996,415.25425425251,322.467654885895,508.616758651331,419.793838832302,415.344043201314,221.539550758731,415.268350714889
1746.7177979599,421.987791268524,58298.3473225809,2176085979.32651,423.582494171249,415.254331121795,323.244012949895,508.047248264056,419.751377416946,415.344136399267,221.65026102236,415.268350671565
1728.48941840349,422.433028046856,57195.7680155572,2086507489.76484,422.691538344453,415.254407991141,324.019450601142,507.481177627613,419.708966812052,415.344227703009,221.764805417209,415.268350628241
1710.60889532547,422.884709506654,56104.0018952239,1999262575.24087,421.822102296201,415.254484860548,324.788540101732,506.918519430492,419.666606871379,415.344317125299,221.88330351125,415.268350584918
1693.0672356934,423.342891332907,55023.0413171887,1914371197.16497,420.973805764623,415.254561730015,325.546130321151,506.359246627346,419.624297449345,415.344404678795,222.005877563268,415.268350541594
1675.8557384007,423.807629757198,53952.878655352,1831848460.00191,420.146276656267,415.254638599544,326.287358180782,505.80333243594,419.582038401023,415.344490376054,222.132652518625,415.26835049827
1658.965982895,424.278981562006,52893.5063018175,1751704592.57366,419.339150858679,415.254715469134,327.007657836586,505.250750334143,419.539829582139,415.344574229532,222.263756000945,415.268350454947
1642.38981832207,424.757004085014,51844.9166668033,1673944954.74108,418.552072057586,415.254792338785,327.702767640423,504.701474056967,419.497670849066,415.344656251585,222.399318299592,415.268350411623
1626.11935315887,425.241755223426,50807.1021785531,1598570071.07096,417.784691558543,415.254869208498,328.368734941782,504.155477593629,419.45556205882,415.344736454473,222.539472352815,415.268350368299
1610.14694531051,425.733293438296,49780.0552832491,1525575692.59756,417.036668112948,415.254946078271,329.001918810769,503.612735184667,419.413503069057,415.344814850354,222.684353726439,415.268350324975
